,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Totall,TO
1970-01-01 00:00:00.000018163,0,4,1,7,2,18,0,0,5,7,65,19,12,8,8,0,5,10,26,48,1,0,0,13,0,0,8,3,39,9,1,0.0,417218.0
1970-01-01 00:00:00.000018164,0,0,0,2,7,0,0,35,10,0,0,5,1,3,0,26,0,3,12,44,1,34,20,5,0,0,58,13,0,0,0,0.0,270.0
1970-01-01 00:00:00.000018165,0,0,27,6,1,8,0,0,33,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,76,0,0,0,0,0.0,27618.0
1970-01-01 00:00:00.000018166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018577,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
1970-01-01 00:00:00.000018578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,4,0.0,0.0
1970-01-01 00:00:00.000018579,6,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,600000.0
1970-01-01 00:00:00.000018580,5,6,6,10,0,0,7,0,0,0,11,3,0,1,0,16,1,9,40,0,0,0,0,0,13,38,0,0,0,2,0,0.0,5661000.0
1970-01-01 00:00:00.000018581,4,0,0,9,0,0,2,36,20,15,0,0,33,0,6,0,0,0,0,0,0,0,0,0,2,0,0,2,26,15,0,0.0,400900.0
